F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
M1,T1,94.53,94.516,99.847,0.9454,0.963,99687,2525,279.54,34.01,9552670,9.55,6.57,84.79,MOB,10.24,18,4.239446609
M1,T2,92.51,92.524,99.702,0.923,0.9468,6330,187,45.73,93.59,9001030,9,6.98,85.668,MOB,10.25,18.25,4.294950041
M1,T3,93.93,93.91,99.812,0.9388,0.9582,6653,192,46.19,91.76,8446134,8.45,7.44,86.552,MOB,10.26,17.92,4.214150176
M1,T4,94.07,94.051,99.826,0.9403,0.9593,7101,202,47.24,87.99,15452962,15.45,4.06,75.395,MOB,10.26,18.35,4.312499428
M1,T5,94.08,94.061,99.827,0.9404,0.9594,6994,200,46.97,88.92,30771434,30.77,2.04,51.004,MOB,82.82,18.39,4.326300839
M1,T6,95.93,95.925,99.936,0.961,0.9743,5513,111,38.12,153.2,26130608,26.13,2.4,58.393,CPU,10.45,19.6,5.009242535
M1,T7,96.09,96.088,99.943,0.9628,0.9756,100931,2534,280.38,33.99,7371267,7.37,8.52,88.263,MOB,11.2,18.33,4.715027163
M1,T8,94.55,94.556,99.835,0.9457,0.9632,6562,188,45.79,93.35,6840340,6.84,9.18,89.108,MOB,10.26,18.42,4.732919394
M1,T9,95.88,95.871,99.93,0.9604,0.9739,6731,192,46.22,91.64,6986682,6.99,8.99,88.875,MOB,10.27,18.49,4.749925806
M1,T10,95.94,95.935,99.936,0.9611,0.9744,7124,201,47.14,88.35,13023988,13.02,4.82,79.262,MOB,83.09,18.88,4.841975934
M1,T11,94.15,94.136,99.821,0.9412,0.96,5566,111,38.11,153.24,23332893,23.33,2.69,62.848,CPU,10.23,19.64,5.017229843
M1,T12,92.57,92.579,99.693,0.9237,0.9472,6385,187,45.74,93.54,6774446,6.77,9.27,89.213,MOB,10.23,18.39,4.727600856
M1,T13,94.07,94.05,99.812,0.9403,0.9593,6662,190,46.05,92.31,6633033,6.63,9.47,89.439,MOB,10.25,18.67,4.783410454
M1,T14,94.12,94.106,99.821,0.9409,0.9597,7070,200,47.04,88.7,11956333,11.96,5.25,80.962,MOB,83.33,18.66,4.786960804
M1,T15,93.99,93.973,99.82,0.9394,0.9587,5553,112,38.18,152.19,23367435,23.37,2.69,62.793,CPU,10.24,19.88,5.073523232
M1,T16,92.39,92.407,99.683,0.9217,0.9458,6402,188,45.79,93.35,6847314,6.85,9.17,89.097,MOB,10.25,18.46,4.74280534
M1,T17,93.9,93.879,99.813,0.9384,0.9579,6690,191,46.13,91.99,6706252,6.71,9.36,89.322,MOB,10.26,18.61,4.775384597
M1,T18,93.99,93.973,99.82,0.9394,0.9587,7037,199,46.95,89.01,11968298,11.97,5.25,80.943,MOB,84.27,18.65,4.787509747
